AirportCode,AirportName,Country
 EWN , Craven County Regional Airport , United States 
YIB,Redwood Bay Airport, United States 
TUD,Green Bay Airfield, United States 
KVA,Oak Valley Municipal, United States 
IJA,River Harbor Regional, United States 
OAZ,Redwood Creek Airport, United States 
MFF, None , United States 
 F80 , ATOKA MUNI , United States 
 F00 , Jones Field Airport , United States 
 AK28 , Chena Marina Airport , United States 
CYU,Silver Point Airfield, Dominican Republic 
HPO,Mountain Springs Airport, Austria 
DBB,Sunset Bluff Airport, United States 
 ALN , St. Louis Regional Airport , United States 
GLF,Lake Heights Regional, United States 
 OLM , Olympia Airport , United States 
 COE , Coeur D'Alene Air Terminal , United States 
 KFRR , Front Royal-Warren County Airp , United States 
 PGA , PAGE MUNI , United States 
EXJ,Redwood Field International, United States 
 ACK , Nantucket Memorial Airport , United States 
 S67 , Nampa Municipal Airport , United States 
 UT75 , MINERAL CANYON STRIP AIRPORT , United States 
 AAO , Colonel James Jabara Airport , United States 
JIH,Mountain Heights Municipal, United States 
 KTEB , Teterboro , United States 
 KTEB , Teterboro , United States 
DFZ,Oak Valley Municipal, United States 
 FNL , Fort Collins-Loveland Municipa , United States 
 P32 , Husky Haven , United States 
 MGJ , Orange County Airport , United States 
 SEF , Sebring , United States 
LHB,Sky Hill Regional, United States 
ESG,Mountain Bay Airport, United States 
 KSLC , Salt Lake City International , United States 
SUL,Clearwater Creek International, United States 
 2S6 , Sportsman Airpark , United States 
 SEE , Gillespie Field , United States 
NFP,Mountain Hill Regional, United States 
XCV,Mountain Heights Airfield, Canada 
XWN,River Point Airport, Mexico 
LKG,Mountain Heights International, Dominica 
 TOA , Zamperini Field , United States 
UNO,Oak Field International, United States 
 PQL , TRENT LOTT INTERNATIONAL , United States 
QFX,Mountain Bluff International, United States 
 76G , Marine City , United States 
 89D , Kellys Island , United States 
 WA05 , Apex Airpark , United States 
 MYF , Montgomery Field , United States 
AHJ, NONE , United States 
 PNM , Princeton Municipal , United States 
BRK,Lake Heights Airfield, United States 
IWA,Sky Point International, United States 
NEX,River Valley Regional, United States 
 KCNO , Chino Airport , United States 
 W28 , Sequim Valley Airport , United States 
VLM,Green Valley Airfield, United States 
WFC,Sky Hill International, United States 
 FWA , Fort Wayne , United States 
 KETB , West Bend Municipal , United States 
 K2W6 , ST Mary's County Regional Airp , United States 
 MOZ , Moorea Airport , French Polynesia 
 T92 , MASON COUNTY , United States 
 2S5 , Waterville Airport , United States 
YHB,River Creek Airport, United States 
 PWT , Bremerton , United States 
RWY,Sky Field Airfield, United States 
MHO,Lake Bay Airfield, United States 
 SUS , Spirit of St Louis Airport , United States 
 BMG , Bloomington , United States 
UOW,Silver Springs Airfield, United States 
VKL,River Valley Municipal, United States 
RPO,Oak Valley Airport, United States 
MEB,Mountain Heights International, United States 
 W66 , Warrenton-Fauquier Airport , United States 
RNV,Green Hill Regional, United States 
BKM,Silver Hill International, United States 
 OKB , Oceanside Municipal , United States 
 PASI , Sitka Rocky Gutierrez , United States 
 6K5 , Sisters , United States 
FVZ,Oak Field Regional, United States 
 WST , Westerly State , United States 
 0L7 , Jean , United States 
LGR,Sunset Creek Airport, United States 
 TDO , Carlson Meml - South Lewis Co. , United States 
 KTVL , Lake Tahoe Airport , United States 
 SRR , Sierra Blanca Regional , United States 
QVU,Mountain Heights Regional, United Kingdom 
QUX,Mountain Harbor Municipal, United States 
 NONE , PRIVATE STRIP , United States 
 U60 , Big Creek , United States 
KQT,Sunset Hill Municipal, United States 
 MFR , FELTS FIELD , United States 
CVA,Lake Creek International, United States 
 ID85 , Elk River Airport , United States 
 F41 , ENNIS MUNI , United States 
 EYE , Eagle Creek Airpark , United States 
 SEF , Sebring Regional Airport , United States 
 K8S1 , Polson Airport , United States 
RDX,Redwood Point Airport, United Kingdom 
JXF,Redwood Harbor Airfield, Nigeria 
 LECU , MADRID/CUATRO VIENTOS ARPT (CI , Spain 
 TUM , TOCUMEN AIRPORT , Panama 
NAF,Mountain Springs International, United States 
TSC,Sky Valley Airport, United States 
 HPT , HAMPTON MUNI , United States 
 DYT , RICHARD B HELGESON , United States 
JEU,Oak Valley Airport, United States 
ITK,Clearwater Field Municipal, United States 
TDR,Mountain Springs International, United States 
OWL,Clearwater Creek International, United States 
 BJC , Rocky Mountain Metropolitan , United States 
MFX,Clearwater Creek Airfield, United States 
 FXE , Fort Lauderdale Executive , United States 
 RYY , Cobb County Airport , United States 
QVM,River Valley Regional, United States 
 KOLM , Olympia , United States 
DVH,Clearwater Point Municipal, Canada 
YCW,Sky Harbor Airport, Colombia 
HOG,Lake Bay Airport, Australia 
 9VG9 , Jucapa Farms Airport , United States 
DED,River Heights Airfield, United States 
 KEIK , Erie Municipal Airport , United States 
 MTK , Montauk Airport , United States 
 PAMR , Merrill Field , United States 
 SGU , ST GEORGE MUNI , United States 
 NONE , Private Airstrip , United States 
JII,Redwood Hill International, United States 
PBZ,Redwood Valley Municipal, United States 
 10C , Galt , United States 
MIY,River Springs Regional, United States 
KBQ,Mountain Springs Municipal, United States 
 9S5 , Three Forks , United States 
WZQ, NA , Ireland 
 Y47 , New Hudson , United States 
 KX59 , Valkaria Airport , United States 
 L12 , REDLANDS MUNICIPAL AIRPORT , United States 
FCX,River Field International, United States 
 NONE , Off Airport , United States 
QOX,Sunset Creek Regional, Russia 
LLZ,River Bluff International, United States 
KAG, Quitman Hospital Helipad , United States 
 W01 , TONASKET MUNICIPAL , United States 
 SFQ , Suffolk Executive Airport , United States 
WDH,Lake Point International, United States 
 DAY , JAMES M COX DAYTON INTL , United States 
 RNM , Ramona , United States 
 K23 , Cooperstown-Westville Apt , United States 
 OSH , Wittman Regional , United States 
 OSH , Wittman Regional , United States 
GMP,Redwood Springs Airfield, United States 
 N45 , Kobelt Airport , United States 
 GEO , Brown County , United States 
 4M1 , Carroll County , United States 
UHD,Redwood Springs Airfield, United States 
OLX,Oak Valley Regional, United States 
 C89 , Sylvania , United States 
 RCM , Skyhaven Airport , United States 
XRQ,River Point Municipal, United States 
WIK,Mountain Hill Airfield, United States 
 HWV , BROOKHAVEN , United States 
 UUU , NEWPORT STATE ARPT , United States 
 27FL , Watson , United States 
 KCNO , Chino Airport , United States 
 GJT , Walker Field , United States 
IJY,Green Bluff Airport, Spain 
 ABO , Antonio Juarbe , United States 
UPP,Sky Creek Municipal, United States 
 0WY1 , Dorsey Creek Ranch Airport , United States 
999, Private Airstrip , United States 
 N10 , Perkiomen Valley Airport , United States 
 VA33 , Beaver Dam Airpark , United States 
 ANK , Harriet Alexander Field , United States 
 H49 , Columbia , United States 
 BKE , BAKER CITY MUNICIPAL , United States 
 MYL , MC CALL , United States 
 BOI , BOISE AIR TERMINAL /GOWEN FLD/ , United States 
OKB,Mountain Harbor International, United States 
YWU,Clearwater Valley Municipal, United States 
EQF,Lake Bluff Regional, United States 
WQC,Sky Bay Airport, United States 
UOK,Green Heights International, United States 
DVO,Mountain Hill Airport, Unknown 
 LFSB , Basel-Mulhouse , Switzerland 
 3U2 , Johnson Creek Airport , United States 
 PVT , Wilson's Flying Service , United States 
 OMN , Ormond Beach , United States 
 TYL , Taylor Airport , United States 
CSA,Lake Harbor Airfield, United States 
LBU,River Harbor Municipal, United States 
 ND17 , Harvey Muni , United States 
 OEB , Branch County , United States 
EGN,Redwood Harbor International, United States 
 BAM , BATTLE MOUNTAIN , United States 
TLD,River Harbor Airfield, United States 
 1N7 , BLAIRSTOWN , United States 
GFM,Sky Field Airfield, United States 
 S67 , Nampa Municipal Airport , United States 
 MSSS , Ilopango International , El Salvador 
QGN,Silver Valley International, United States 
 KSFF , Felts Field , United States 
 RFD , Chicago/Rockford Intl , United States 
 61S , Cottage Grove State Airport , United States 
 SGJ , St. Augustine Airport , United States 
YFM,Sunset Heights Airport, United States 
BRE,Clearwater Point Municipal, Mexico 
 0CO2 , Crested Butte , United States 
CNA,Mountain Valley Airport, Venezuela 
 4NY8 , HARRIS HILL , United States 
 O41 , WATTS-WOODLAND , United States 
VAX,Sky Bluff Regional, United States 
 SCB , Scribner State , United States 
ZCC, NONE , United States 
 4IA2 , Walker Field , United States 
 CDR , Chadron Muni , United States 
 CBK , Shalz Field Airport , United States 
 APA , Centennial , United States 
SHR, None , United States 
 DTS , Destin-Fort Walton Beach , United States 
 F49 , Slaton Municipal Airport , United States 
LFG, None , United States 
NCI,Silver Hill Airport, United States 
 06MO , Noahs Ark , United States 
 KPHK , Pahokee , United States 
UUW, Ganes Creek , United States 
 SBP , SAN LUIS OBISPO COUNTY-MC CHES , United States 
 VRB , Vero Beach , United States 
TYV,Clearwater Valley Regional, United States 
AXR,Oak Valley Regional, United States 
GGY,Sky Heights Regional, United States 
 6S8 , Laurel Municipal Airport , United States 
 KBDN , Bend Municipal Airport , United States 
 WMC , WINNEMUCCA MUNI , United States 
LWF,Mountain Valley Airport, Brazil 
LHC,Clearwater Creek International, United States 
DIE,Mountain Creek Municipal, United States 
SYF,Green Springs International, United States 
 NONE , Off Airport , United States 
 LPR , Lorain County Regional Airport , United States 
ZEX,Silver Valley International, United States 
 BVY , BEVERLY MUNI , United States 
SDW,Silver Field Regional, United States 
 2U7 , Stanley , United States 
UHB,Green Field International, United States 
VTR,River Valley Municipal, United States 
 FCM , Flying Cloud , United States 
DQQ,Clearwater Bay International, United States 
 CMA , Camarillo , United States 
 ONO , ONTARIO MUNI , United States 
 U00 , Leadore , United States 
 N53 , Stroudsburg-Pocono Airport , United States 
EPP,Redwood Bluff International, United States 
 RNO , Reno/Tahoe International , United States 
MTA,Silver Valley Regional, United States 
 CNO , Chino Airport , United States 
EQG,Silver Bay Municipal, United States 
 L00 , Rosamond , United States 
 GDM , GARDNER MUNI , United States 
 AST , Astoria Regional , United States 
FJW,Mountain Valley Airport, United States 
 NONE , NONE , United States 
UZJ,Clearwater Creek International, United States 
 79N , Ridge Soaring Gliderport , United States 
LAZ,Mountain Heights Airport, United States 
 LLN , LEVELLAND MUNI , United States 
 4G1 , Greenville Municipal Airport , United States 
HBD,Lake Creek International, United States 
 D52 , Geneseo Airport , United States 
 PRB , Paso Robles , United States 
 O85 , Benton Field Airport , United States 
 MYF , Montgomery Field , United States 
 ORT , Northway , United States 
SDU,Green Springs Airfield, United States 
JXH,Sunset Springs International, United States 
 IMM , IMMOKALEE , United States 
 ATL , THE WILLIAM B HARTSFIELD ATLAN , United States 
 EDN , Enterprise Municipal Airport , United States 
AAY,River Point Municipal, Ireland 
FDM,Sky Hill Airfield, United States 
 T65 , MID VALLEY , United States 
 GUC , Gunnison-Crested Butte Regiona , United States 
 FLL , Fort Lauderdale International , United States 
 FLL , Fort Lauderdale International , United States 
OJL,Clearwater Bluff Airport, United States 
 WA09 , Roche Harbor Airport , United States 
 UTA , Tunica Municipal Airport , United States 
UCH,Clearwater Hill International, United States 
 UTA , Tunica Municipal Airport , United States 
JMN,Sunset Point Municipal, United States 
 SFB , Orlando Sanford International , United States 
 MPV , Edward F Knapp State , United States 
MOD,Silver Field Airport, United States 
 PAE , Snohomish Co (Paine Field) , United States 
 LAL , Lakeland Linder Regional , United States 
FIX, Private Airptrip , United States 
IYZ,Lake Point International, United States 
 58C , Jana , United States 
LLO,Redwood Field International, United States 
TEZ,Clearwater Bay Regional, United States 
 KO37 , Haigh Field Airport , United States 
OBY,River Hill Municipal, United States 
XZE,Sky Harbor Airfield, United States 
 TE75 , Lexington Airfield , United States 
 73KY , Brooks Field , United States 
 35ME , Matinicus Island Airport , United States 
 1Q4 , New Jerusalem , United States 
 PA64 , CAIRNWOOD , United States 
LEQ,Lake Creek Regional, United States 
ZRC,Redwood Heights Regional, United States 
 CN13 , Clarksburg , United States 
 HVN , TWEED-NEW HAVEN , United States 
 PVT , Voyager Village , United States 
PDO,Mountain Valley Airfield, United States 
 KUAO , Aurora State Airport , United States 
 TRK , Truckee-Tahoe , United States 
 3B8 , Shady Acres , United States 
 UNV , UNIVERSITY PARK , United States 
FJC,Mountain Bay Airport, United States 
KZI,Silver Creek Airport, United States 
HMX,Oak Springs Airfield, United States 
YQW,Oak Bay Airport, United States 
 N12 , Lakewood , United States 
RZC,Sky Heights International, United States 
 MIE , Delaware County-Johnson Field , United States 
 3CK , Lake in the Hills , United States 
RHD,River Bluff Airfield, United States 
