RegistrationNumber,AircraftCategory,Make,Model,AmateurBuilt,NumberofEngines,EngineType,passenger_seats,AirportCode
 N51698 , Helicopter , Bell , 206B-III , No ,1, Turbo Shaft ,163,JOA
 N901RC , Airplane , Ward RC , 350 HP , Yes ,1, Reciprocating ,290,NUD
 N92737 ,Airplane, Cessna , 172M , No ,1, Reciprocating ,321,KNO
 N92HS ,Airplane, Robinson , R-22 , No ,1, Reciprocating ,263, ARA 
 N8777Q , Airplane , Cessna , U206G , No ,1, Reciprocating ,255,TDW
N7620V,Airplane, North American , T-6G , No ,2,Reciprocating,283,CGO
 N978TL ,Airplane, Beech , A36 , No ,1, Reciprocating ,202,QMT
 N215MD ,Airplane, Cessna ,210, No ,1, Reciprocating ,324, 1V6 
 N73223 , Helicopter , Bell , 47G-2A , No ,1, Reciprocating ,363, PCZ 
 N31MC , Airplane , Learjet , 35A , No ,2, Turbo Fan ,237, GLD 
 N785CP , Airplane , Poser , DM 582 Buckeye , No ,1, Reciprocating ,361, K1L8 
 N17888 , Glider , Schweizer , SGS 2-33A , No ,0,Reciprocating,396, L94 
 N7408G , Balloon , Balloon Works , Firefly 7 , No ,0,Reciprocating,372,CLQ
 N407LL , Helicopter , Bell ,407, No ,1, Turbo Shaft ,197, STC 
 N5644N , Airplane , Maule , M-5-235-C , No ,1, Reciprocating ,356, FFZ 
 N475TW , Airplane , Welch , RV-9 , Yes ,1, Reciprocating ,175, 53U 
 N65BT ,Airplane, North American , NA-265-65 , No ,2, Turbo Jet ,328, IXD 
 N6370U ,Airplane, Aero Commander , 560-F , No ,2, Reciprocating ,350, CBE 
 N628RV ,Airplane, Formhals , RV-8 , Yes ,1, Reciprocating ,312, 5C1 
 N9733P ,Airplane, Piper , PA-25-260 , No ,1, Reciprocating ,181, LVJ 
 N1261X ,Airplane, Mooney , M20E , No ,1, Reciprocating ,187, MKG 
N1529B,Airplane, Cessna ,172, No ,2,Reciprocating,325,ZMH
 N95HS ,Airplane, Sullivan , Lancair IV , Yes ,2,Reciprocating,283,VGE
 N45720 , Airplane , Cessna , 150M , No ,1, Reciprocating ,321, 7S3 
 N8635Y , Airplane , Piper , PA-30 , No ,1, Reciprocating ,352, 1AR9 
N1287P,Airplane, Hawker-Beechcraft , BE-200 , No ,2,Reciprocating,224,QBY
 N368CA ,Airplane," Bombardier, Inc. ", CL-600-2C10 , No ,2, Turbo Fan ,347, DEN 
 N65591 , Airplane , Cessna ,172, No ,1, Reciprocating ,367, MFE 
 N9914F , Airplane , Cessna , 172R , No ,1, Reciprocating ,188, GEU 
 N24547 , Airplane , Cessna , 172R , No ,1, Reciprocating ,228, KBAZ 
 N8521L , Airplane , Air Tractor , AT-602 , No ,1, Turbo Prop ,308,CSD
 N465US ,Airplane, Diamond Aircraft Industries , DA 20-C1 , No ,1, Reciprocating ,248,WEL
 N383SA ,Airplane, Piper , PA-46-310P , No ,1, Reciprocating ,300, PDK 
N0614H,Airplane, Cessna , C 525 , No ,2,Reciprocating,306, KMEM 
N5097H,Airplane, McDonnell Douglas , MD-83 , No ,2,Reciprocating,224,BCL
N5189M,Airplane, Learjet ,35, No ,2,Reciprocating,221,TRJ
 N997PT , Helicopter , Eurocopter , EC 130 , No ,1, Turbo Shaft ,236, HSA 
 N5006K , Airplane , Air Tractor , 402B , No ,1, Turbo Prop ,298, HAA 
 N9897G , Airplane , Cessna , 172L , No ,1, Reciprocating ,288,FTZ
 N5235W ,Airplane, Piper , PA-28-160 , No ,1, Reciprocating ,248, HLX 
 N245CT ,Airplane, Flight Design GMBH , CTSW , No ,1, Reciprocating ,256, AFO 
 N4400N ,Airplane, Jackson , Pientenpol , Yes ,1, Reciprocating ,354, CNU 
 N515HS , Airplane , Slagle , Thorp T-18 , Yes ,1, Reciprocating ,230, 35KY 
 N1139C , Airplane , Piper , PA-22/20 , No ,1, Reciprocating ,269, 8U8 
 N202HW ,Airplane, Haring Clay , RV8A , Yes ,1, Reciprocating ,393,FRS
 N431UA , Airplane , Airbus Industrie , A320-232 , No ,2, Turbo Fan ,207, ORD 
 N71HP , Helicopter , Eurocopter , AS 350 B2 Ecureuil , No ,1, Turbo Shaft ,197, OSU 
 N1024B ,Airplane, Cameron Balloons , Z-105 , No ,2,Reciprocating,368,SWC
 N5315M ,Airplane, Aerostar , RX 8 , No ,2,Reciprocating,209,PID
 N72KX ,Airplane, Sproul , 72K-TET , Yes ,2,Reciprocating,220,YAT
 N313RA ,Airplane, Piper , PA-31-350 , No ,2, Reciprocating ,327, TAD 
 N9612M ,Airplane, Mooney , M20F , No ,1, Reciprocating ,201,VGJ
 N43246 ,Airplane, Piper , PA-28-151 , No ,1, Reciprocating ,189, FES 
 N7179Z ,Airplane, Aerostar , S-66A , No ,0,Reciprocating,355,FZA
 N5425D , Airplane , Krueger , Quickie , Yes ,1, Reciprocating ,203, AIG 
 N6252K , Airplane , Cessna , 150M , No ,1, Reciprocating ,385, 58N 
 N11467 , Airplane , CESSNA , 150L , No ,1, Reciprocating ,175, T89 
 N100GK , Airplane , Cessna , Turbo Centurion T210 , No ,1, Reciprocating ,339,AVM
 N85WT ,Airplane, Cessna , 310N , No ,2, Reciprocating ,265,UWL
 N62029 ,Airplane, Maule , M-5-220C , No ,1, Reciprocating ,400, 9A3 
N2264S,Airplane, Gulfstream Aerospace , GIIB , No ,2,Reciprocating,281,DHV
 N66004 ,Airplane, Boeing , A75N , No ,1, Reciprocating ,220, 3VA3 
 N430A , Airplane , CESSNA , 208B , No ,1, Turbo Prop ,242,SHT
 N9620Z , Airplane , Aviat , A-1 , No ,1, Reciprocating ,370,NML
 N55XP , Airplane , Rittal , Glastar , Yes ,1, Reciprocating ,397,BWF
 N3601Y , Airplane , Cessna , 210C , No ,1, Reciprocating ,271, KCMH 
 N9910A , Airplane , CESSNA , 170A , No ,1, Reciprocating ,392, TDF 
 N9603K , Airplane , Stinson , 108-2 , No ,1, Reciprocating ,183, IDL 
 N24BR , Airplane , de Havilland , DHC-2 , No ,1, Reciprocating ,255,FPP
 N6415F , Airplane , Cessna , 182P , No ,1, Reciprocating ,223, KTTD 
 N4575D , Airplane , Beech , G35 , No ,1, Reciprocating ,170, CUB 
 N100UC , Airplane , BEECH , D55 , No ,2, Reciprocating ,288, TISX 
 N510CS , Glider , LET , Blanik L-13 , No ,0,Reciprocating,169, HMT 
 N5260J , Airplane , Cessna , 172N , No ,1, Reciprocating ,348, KUOX 
 N509RA ,Airplane, Yakovlev , YAK-50 , No ,1, Reciprocating ,234, SEE 
 N950MS ,Airplane, Yakovlev , YAK-50 , No ,1, Reciprocating ,222, SEE 
 N26VT ,Airplane, Pelt , Mad Max II Special , Yes ,1, Reciprocating ,152,RFO
 N4570U ,Airplane, Cessna , 150D , No ,1, Reciprocating ,175,GMO
 N8642V , Airplane , Bellanca , 7GCAA , No ,1, Reciprocating ,247, N57 
 N1260Z , Airplane , Beech , N35 , No ,1, Reciprocating ,274,CYC
 N954Z , Airplane , Cub Crafters , CC11-100 , No ,1, Reciprocating ,320, LUL 
 N3899C , Helicopter , BELL HELICOPTER TEXTRON , 206L-1 , No ,1, Turbo Shaft ,200,KXA
 N22899 , Airplane , Cessna , 150H , No ,1, Reciprocating ,254, H35 
 N6549W , Airplane , PIPER , PA-28-140 , No ,1, Reciprocating ,203,SZR
 N62970 , Airplane , Bellanca , 7GCBC , No ,1, Reciprocating ,220,PYH
 N3635N , Airplane , Dusenberry , 1905 Wright Flyer , Yes ,1, Reciprocating ,169, KFFO 
 N5205X , Airplane , Cirrus Design , SR22 , No ,1, Reciprocating ,396, HFD 
 N2263E , Airplane , Cessna , 172N , No ,1, Reciprocating ,263, 5V4 
 N452TR , Airplane , Progressive Aerodyne , Searey , Yes ,1, Reciprocating ,183,MZJ
 N5494C , Airplane , Cessna , 170A , No ,1, Reciprocating ,194, AFP 
 N739 ,Airplane, Aviat , A1B , No ,1, Reciprocating ,372,DUU
 N4157R , Airplane , Piper , PA-18-150 , No ,1, Reciprocating ,213,AKZ
 N9774F , Airplane , Cessna ,182, No ,1, Reciprocating ,396,YOP
 N211LS , Airplane , Indus , T211 Thorpedo , No ,1, Reciprocating ,197, KDTO 
 N590GM , Airplane , Raytheon Aircraft Company , C90A , No ,2, Turbo Prop ,321,ONC
N9202Z,Airplane, Airbus Industrie , A330 , No ,2,Reciprocating,274,EOM
 N91254 ,Airplane, Piper , PA-18 , No ,1, Reciprocating ,293, 78OR 
 N96HA ,Airplane, Piper , PA-28-181 , No ,1, Reciprocating ,338,AMC
 N437ND , Airplane , Piper , PA28-161 , No ,1, Reciprocating ,343,PMR
 N7751N , Airplane , Piper , PA-28-180 , No ,1, Reciprocating ,231, M33 
 N8549F , Airplane , Piper , PA 28-151 , No ,1, Reciprocating ,244, U42 
 N8VE , Airplane , Lambert John G , Varieze , Yes ,1, Reciprocating ,238, CPK 
 N444PD , Gyrocraft , Degelia , Rotor Flight Dynamic , Yes ,1, Reciprocating ,283, DWU 
 N644BS , Helicopter , Robinson , R44 II , No ,1, Reciprocating ,341, NONE 
 N6291D ,Airplane, Cessna , 172N , No ,1, Reciprocating ,333,FKA
 N6RP , Airplane , Vans Aircraft , RV6 , Yes ,1, Reciprocating ,305,TJQ
 N1839T , Airplane , Piper , PA-28-140 , No ,1, Reciprocating ,317, IDI 
 N41695 , Airplane , Bellanca , 7GCBC , No ,1, Reciprocating ,318, 6S8 
 N38765 ,Airplane, Piper , PA-28R-201T , No ,1, Reciprocating ,386,KXM
 N52359 , Airplane , BEECH , F33A , No ,1, Reciprocating ,199, FKN 
 None ,Airplane,Cessna, Fokker VI , Yes ,1, Reciprocating ,323, NONE 
 N8374F ,Airplane, Schweizer , 269D , No ,1, Turbo Shaft ,174, HOU 
 N8353K ,Airplane, Robinson , R44 , No ,1, Reciprocating ,263,VGF
 N295BA ,Airplane, Helio , H-295 , No ,1, Reciprocating ,242,XVG
 N4175A , Airplane , Piper , PA-32R-301T , No ,1, Reciprocating ,397, SCK 
 N3580Y , Airplane , Cessna , 182F , No ,1, Reciprocating ,327, BFL 
 N806EV , Airplane , Aerotechnik , Sportstar-Evektor , No ,1, Reciprocating ,340, MGG 
 N2327J , Airplane , Cessna , 172 SP , No ,1, Reciprocating ,302, KVTA 
 N911M ,Airplane, Aerostar ,601, No ,2,Reciprocating,151,HJF
 N65998 , Airplane , Cessna , 172P , No ,1, Reciprocating ,170,WHT
 N8761H ,Airplane, Grumman , G-164A , No ,1, Reciprocating ,336,DTK
 N55GW ,Airplane, Beech , B35 , No ,1, Reciprocating ,388, ALO 
 N74557 ,Airplane, Robinson , R-22 BETA , No ,1, Reciprocating ,358,UXQ
 N2826K , Airplane , Luscombe , 8E , No ,1, Reciprocating ,295, RNM 
 N38234 , Airplane , Piper , J5A , No ,1, Reciprocating ,194, O15 
 N9583L , Airplane , Grumman American , AA-5 Traveler , No ,1, Reciprocating ,279, MU02 
 N62RE , Airplane , Everson , Sidewinder , Yes ,1, Reciprocating ,313, 83J 
 N7149P , Airplane , Piper , PA-24-250 , No ,1, Reciprocating ,282, 60R 
 N45014 , Airplane , Piper , PA-31-350 , No ,2, Reciprocating ,366, PPA 
 N364GW , Airplane , Cessna ,172, No ,1, Reciprocating ,332, TKI 
 N90TH ,Airplane, Dassault Aviation , Mystere Falcon 900 , No ,3, Turbo Fan ,208, TEB 
 N454AA , Airplane , MCDONNELL DOUGLAS , DC-9-82 (MD-82) , No ,2, Turbo Fan ,292, STL 
 N758TG ,Airplane, Cessna ,172, No ,1, Reciprocating ,292,EEC
 N808MH ,Airplane, Eurocopter France , EC 130 B4 , No ,1, Turbo Shaft ,378, L25 
 N8341G ,Airplane, Piper , PA-32R-301T , No ,1, Reciprocating ,332,MNB
 N2560M , Airplane , Piper , PA-12 , No ,1, Reciprocating ,239,EOT
N1868H,Airplane, Reims Aviation , F406 , No ,2,Reciprocating,254,YRK
 N880FS , Airplane , FLY BY SEA CO , COMP AIR 1 , Yes ,1, Turbo Prop ,302, COI 
 N6716J , Airplane , Piper , PA-28-140 , No ,1, Reciprocating ,294, P19 
 N33LQ , Airplane , Langley , Tri-Quickie , Yes ,1, Reciprocating ,313, CNO 
 N6497E , Airplane , Cessna , A185F , No ,1, Reciprocating ,240, 9S9 
 N39263 , Airplane , Taylorcraft , BC12-D , No ,1, Reciprocating ,308, NONE 
 N7961P ,Airplane, Piper , PA-24-250 , No ,1, Reciprocating ,232, FD77 
 N22237 ,Airplane, Cessna , 172S , No ,1, Reciprocating ,351, TYR 
 N732XE ,Airplane, Cessna , T210M , No ,1, Reciprocating ,319, 0E0 
 N19298 , Airplane , Cessna , 150L , No ,1, Reciprocating ,186, W27 
N5959P,Airplane, Boeing ,737, No ,2,Reciprocating,221,WTU
N1256Z,Airplane, Piper , PA-46-350 , No ,2,Reciprocating,152,ICV
 N26442 , Airplane , GRUMMAN , AA-5A , No ,1, Reciprocating ,212, DWU 
 N46209 , Airplane , CESSNA ,180, No ,1, Reciprocating ,339,UHA
 N11HP , Airplane , North American , SNJ-5 , No ,1, Reciprocating ,364, BMI 
 N9793L , Airplane , Beech , C23 , No ,1, Reciprocating ,367, TSO 
 N3184T , Helicopter , Robinson , R44 II , No ,1, Reciprocating ,331, BNA 
 N5050R , Airplane , Piper , J3 , No ,1, Reciprocating ,304,WWB
 N43046 ,Airplane, Kolb Company , MK II , Yes ,1, Reciprocating ,184, TN64 
 N871KS ,Airplane, Beech , C90A , No ,2, Turbo Prop ,387,MCB
 N8030Z ,Airplane, Cessna , U206 , No ,1, Reciprocating ,363,XBV
 N4468Z ,Airplane, Piper , PA-18 , No ,1, Reciprocating ,248,BXG
 N203AB ,Airplane, SOCATA , TB20 , No ,1, Reciprocating ,387, BTY 
 N2341J , Helicopter , Robinson , R-22 Beta , No ,1, Reciprocating ,307, S07 
 N8844H , Airplane , North American , Navion , No ,1, Reciprocating ,299,QHI
 N3948W , Airplane , Piper , PA-32 , No ,1, Reciprocating ,298,MNX
 N7837G , Airplane , Cessna ,172, No ,1, Reciprocating ,384, MMK 
 N123MD , Airplane , BEECH , H-18 , No ,2, Reciprocating ,261, KFXE 
 N2455B , Airplane , TEMCO , GC-1B , No ,1, Reciprocating ,218, EVB 
N1667G,Airplane, Boeing , 737-800 , No ,2,Reciprocating,158,PNN
 N97996 , Airplane , Cessna , 182Q , No ,1, Reciprocating ,295, GWS 
 N7078T , Airplane , Jeffrey Wilson , Escapade , Yes ,1, Reciprocating ,209, KLG 
 C-FTPA , Airplane , Cessna , 340A , No ,2, Reciprocating ,302, 0Q3 
 N190BJ , Airplane , Cessna ,190, No ,1, Reciprocating ,395, 83FL 
 N8033M , Airplane , Cessna , 182P , No ,1, Reciprocating ,160, I58 
 N5294D , Balloon , Aerostar , S81A , No ,0,Reciprocating,344,IIL
 N2088Z ,Airplane, Short Bros. , SC-7 , No ,2, Turbo Prop ,386,UAO
 N3653 ,Airplane, Siebert , RV-9A , Yes ,1, Reciprocating ,151, PVT 
 N3134Q ,Airplane, St. Claire , Ragtop-01 , No ,1, Reciprocating ,245, L65 
 N10TM ,Airplane, Beech , B90 , No ,2, Turbo Prop ,204, CHA 
 N9271Q ,Airplane, Beech , V35B , No ,1, Reciprocating ,331, 29G 
 N416EC , Airplane , ORTIZ G/SAINT J , RV-10 , Yes ,1,Reciprocating,152, RYY 
 N9285J , Airplane , Piper , PA-28-180 , No ,1, Reciprocating ,275, BDR 
 N2825Z , Airplane , Piper , PA-22-150 , No ,1, Reciprocating ,381,RSA
 N4764T , Airplane , Piper , PA 28-140 , No ,1, Reciprocating ,269, FLG 
 N1415B , Airplane , Root , Sherpa , Yes ,1, Reciprocating ,161, SPB 
 N8751Y ,Airplane, Piper , PA-30 , No ,2, Reciprocating ,340,OMS
 N91357 ,Airplane, Air Tractor , AT-802A , No ,1, Turbo Prop ,242,NKF
 N7072E ,Airplane, Francis , SE5A REPLICA , Yes ,1, Reciprocating ,348, 8NC9 
 N729CM , Airplane , VANS , RV-7A , Yes ,1, Reciprocating ,160, F05 
 N1950E , Airplane , Aeronca , 7AC , No ,1, Reciprocating ,252, 1G3 
 N6017P , Airplane , Piper , PA-24-180 , No ,1, Reciprocating ,185, T74 
 N105WB , Balloon , Ultra Magic , M-56C , No ,0,Reciprocating,305,XQJ
 N9539G , Balloon , Cameron Balloons , O-77 , No ,0,Reciprocating,315,CII
 N1844Q , Airplane , Cessna , 177RG , No ,1, Reciprocating ,199, CPM 
 N20577 , Airplane , Grenier , Kitfox IV , Yes ,1, Reciprocating ,388,BDC
N9060A,Airplane, Piper , PA-32-301 , No ,2,Reciprocating,262,EEF
N0517X,Airplane, Boeing , MD-82 , No ,2,Reciprocating,375,LFU
N7028K,Airplane, Piper , PA-28-181 , No ,2,Reciprocating,267,OKV
 N110SP , Airplane , Monocoupe , 110SP , No ,2, Reciprocating ,302,KLI
 N515KJ , Airplane , BEECH , C-90 , No ,2, Turbo Prop ,171, GA35 
 N8260R , Airplane , Bellanca , 17-30A , No ,1, Reciprocating ,155, RYY 
 N616EV ,Airplane, Evektor-Aerotechnik a.s. , SportStar , No ,1, Reciprocating ,261, EIK 
 N8522P ,Airplane, Air Tractor , AT 602 , No ,1, Turbo Prop ,260, 41F 
 N877HF ,Airplane, Robinson , R22 Beta , No ,1, Reciprocating ,394,HTO
 N5073T ,Airplane, Beech , A23-24 , No ,1, Reciprocating ,166, OQN 
 N5344U , Airplane , Cessna , U206G , No ,1, Reciprocating ,343, 82CL 
 N1VD ,Airplane, Deluca-Owl , OR-71 , Yes ,1, Reciprocating ,357, 4SD 
 N11XR ,Airplane, Tuttle Cassutt , IIIM , Yes ,1, Reciprocating ,350, 4SD 
 N132SH , Helicopter , Robinson , R22 Beta II , No ,1, Reciprocating ,400, OAK 
 N100G , Airplane , Israel Aircraft Industries , Astra SPX , No ,2, Turbo Fan ,296, PDK 
 N769R , Airplane , Skykits , Savannah ADV , No ,1, Reciprocating ,229, 00E 
N5369O,Airplane, Boeing , 737-200 , No ,2, Turbo Jet ,260, MMGL 
 N109PA , Airplane , PIPER , PA-32R-301 , No ,1, Reciprocating ,375,IQG
 N1145X , Airplane , Piper , PA-28R-200 , No ,1, Reciprocating ,330, VDF 
 N423SH , Airplane , Hasch , Vans RV6 , Yes ,1, Reciprocating ,304, 38D 
 N30926 , Airplane , Piper , J3L-65 , No ,1, Reciprocating ,377, 6B6 
 N269HB , Helicopter , Schweizer , 300 CBI , No ,1, Reciprocating ,393, KLVN 
 N319AM , Airplane , Aviat , A-1B , No ,1, Reciprocating ,296, S80 
N1949A,Airplane, Learjet ,35, No ,2,Reciprocating,278,KYF
 N1811Q ,Airplane, Beech , A-36TC , No ,1, Reciprocating ,202, KBVS 
 N139DK ,Airplane, Aero Vodochody , L-39C , No ,1, Turbo Fan ,389, 4SD 
 N360SS ,Airplane, Bell , 47G-3B-1 , No ,1, Reciprocating ,351,DDF
 N313BG ,Airplane, Fairchild Hiller , FH-1100 , No ,1, Turbo Shaft ,292,XKA
 N6735J ,Airplane, Piper , PA-28-140 , No ,1, Reciprocating ,275,JUF
 N4719B ,Airplane, Cessna ,180, No ,1, Reciprocating ,241, APA 
 N965SH , Helicopter , Robinson , R-22B , No ,1, Reciprocating ,356, KLGB 
 N40325 , Airplane , Maule , M-4-220C , No ,1, Reciprocating ,314,CPB
 N24WR , Glider , Schleicher , ASW-24E , No ,1, Reciprocating ,308, KMRN 
 N68462 , Airplane , Boeing Stearman , E75 , No ,1, Reciprocating ,349,UYZ
 N7221Q , Airplane , Cessna , 172L , No ,1, Reciprocating ,289, HLN 
 N6731U , Airplane , Mooney , M20C , No ,1, Reciprocating ,313, ABE 
 N993KC , Helicopter , ROBINSON HELICOPTER , R22 BETA , No ,1, Reciprocating ,182,DZS
 N269RV , Airplane ," Rans, Inc. ", RV-9A , Yes ,1, Reciprocating ,264, 00AL 
 N119G , Airplane , Grumman American , AA-5 , No ,1, Reciprocating ,306, L80 
 N335DF , Airplane , LANCAIR , IV-P , Yes ,1, Reciprocating ,288, EET 
N9637H,Airplane, Cessna , 208B , No ,2,Reciprocating,263,TLL
 N1229X , Airplane , Mooney , M20D , No ,1, Reciprocating ,218, PVF 
 N12189 , Airplane , Cessna , 172 Skyhawk , No ,1, Reciprocating ,320, MO3 
 N6014U , Helicopter , Rogerson Hiller Corp. , RH-1100 , No ,1, Turbo Shaft ,323, 13W 
 N205LT , Helicopter , Bell , 206-B2 , No ,1, Turbo Shaft ,299, L00 
 N82022 ,Airplane, Piper , PA-18 , No ,1, Reciprocating ,261,HWE
 N261BH , Helicopter , BELL , 206B , No ,1, Turbo Shaft ,392,MRT
 N13NG ,Airplane, Rose , Peregrine , Yes ,1, Reciprocating ,264, 4SD 
 N402BF ,Airplane, Cessna , 402B , No ,2, Reciprocating ,212, HOB 
 N94260 , Airplane , Cessna ,185, No ,1, Reciprocating ,306,QLD
 N2353Y , Airplane , Cessna ,177, No ,1, Reciprocating ,274, KCUB 
 N1237H , Airplane , Piper , PA-28-140 , No ,1, Reciprocating ,339, SZP 
N3259F, Helicopter , Robinson , R44 , No ,2,Reciprocating,193,HBV
N7049J,Airplane, Robinson , R-22 Beta , No ,2,Reciprocating,332,VUH
 N228C , Airplane , Stinson , 108-2 , No ,1, Reciprocating ,211, 0S9 
 N1954F , Airplane , Cessna , 172N , No ,1, Reciprocating ,274, FA43 
 N1751W , Airplane , Beech , BE-55 , No ,2, Reciprocating ,243, GVL 
 N2420R ,Airplane, Cessna , 182G , No ,1, Reciprocating ,346,LXE
 N31HM ,Airplane, Hughes , 369D , No ,1, Turbo Shaft ,235, ELN 
 N19952 ,Airplane, Cessna , 172M , No ,1, Reciprocating ,266, 1B9 
 N72699 , Airplane , Cessna ,140, No ,1, Reciprocating ,288, F83 
 N505RA , Helicopter , Eurocopter , AS-350B2 , No ,1, Turbo Shaft ,221, GMU 
 N353TW , Airplane , Mooney , M20TN , No ,1, Reciprocating ,363, ERV 
 N3063Y , Airplane , Piper , PA-28-181 , No ,1, Reciprocating ,188, CRE 
 N6729A , Airplane , Cessna ,172, No ,1, Reciprocating ,391,HEK
 N1758R ,Airplane, Cessna ,185, No ,1, Reciprocating ,319, PALH 
 N6070X ,Airplane, Piper , PA-46-350P , No ,1, Reciprocating ,367,ADQ
 N7298R ,Airplane, Beech , F33A , No ,1, Reciprocating ,296, POC 
 N52033 ,Airplane, North American , SNJ-2 , No ,1, Reciprocating ,218, NTU 
 N819F , Airplane ," Ekornaas, Fred ", SkyRanger II Kit , No ,1, Reciprocating ,268, WI58 
N8117B,Airplane, Bell , 206B , No ,2,Reciprocating,234,ULI
 N62BA , Airplane , Piper , PA-23-250 , No ,2, Reciprocating ,274,TEX
 N6493W , Airplane , PIPER , PA-28-140 , No ,1, Reciprocating ,359,NQA
 N384CC , Airplane , Piper/Cub Crafters , PA-18 , No ,1, Reciprocating ,351,RXW
 N93FD , Airplane , Furey , Kitfox IV , Yes ,1, Reciprocating ,171,NTZ
 N267MW , Helicopter , BELL , 206B3 , No ,1, Turbo Shaft ,176, LAL 
 N702PA , Airplane , CESSNA , 208B , No ,1, Turbo Prop ,175,HDG
 N73455 , Airplane , Cessna , 172M , No ,1, Reciprocating ,206, PTK 
 N41734 , Airplane , Jones , Challenger II , Yes ,1, Reciprocating ,378, 1N1 
 N8945V ,Airplane, Cessna , 172M , No ,1, Reciprocating ,277,VSZ
 N155HC ,Airplane, Higher Class Aviation , Sport Hornet , No ,1, Reciprocating ,184, SZP 
 N445AF ,Airplane, Cessna , 172R , No ,1, Reciprocating ,376, BOS 
 N444CF , Airplane , Piper , PA28-161 , No ,1, Reciprocating ,286, KSDC 
 N251AS , Airplane , Piper , PA-34-200T , No ,2, Reciprocating ,259,COF
 N240R , Airplane , Bellanca , 8KCAB-180 , No ,1, Reciprocating ,159,NBU
 N46248 , Airplane , Aeronca , O-58B , No ,1, Reciprocating ,168, N07 
 N351F , Airplane , American Air Racing , Thunder Mustang , Yes ,1, Reciprocating ,267, 4SD 
 N58332 , Helicopter , Hughes , 269C , No ,1, Reciprocating ,230,VNM
 N58596 , Airplane , Cessna , 182P , No ,1, Reciprocating ,373, 1WA6 
 N1118H , Airplane , Aeronca , S15AC , No ,1, Reciprocating ,269,TRX
 N137GK ,Airplane, Kearney , Pulsar XP , Yes ,1, Reciprocating ,293, P52 
 N4756T ,Airplane, de Havilland , DHC-2 MK1 , No ,2,Reciprocating,201,FRA
 N5462 ,Airplane, Schrack , Starduster Too , Yes ,1, Reciprocating ,315, 7KY2 
 N1301Y ,Airplane, Cessna , 172C , No ,1, Reciprocating ,212, 89D 
 N2355H ,Airplane, Piper , PA-18-150 , No ,1, Reciprocating ,211,BKR
 N212YA , Airplane , Yakovlev , Yak 52 , No ,1, Reciprocating ,162, 3CK 
 N60867 , Airplane , CESSNA , 150J , No ,1, Reciprocating ,243, KHZL 
 N7476 ,Airplane, Slingsby , Swallow Type T.45 , No ,0,Reciprocating,245, SN76 
 N62382 ,Airplane, North American , SNJ-2 , No ,1, Reciprocating ,255, FRG 
 N52033 ,Airplane, North American , SNJ-2 , No ,1, Reciprocating ,393, FRG 
 N1502V ,Airplane, Cessna , 172M , No ,1, Reciprocating ,244,TBP
 N118TT ,Airplane, Beech , B35 , No ,1, Reciprocating ,320, KBGD 
 N547DB ,Airplane, Werner , Vari-Eze , Yes ,1, Reciprocating ,265, TVY 
 N62063 , Airplane , Maule , M5-210C , No ,1, Reciprocating ,284, 07K 
 N84GT , Airplane , Trinidad , TB-20 , No ,1, Reciprocating ,197, KHPN 
 N465MA , Airplane , PIPER , PA-28-181 , No ,1, Reciprocating ,391, 7FL6 
 Unknown ,Airplane,Cessna, Unknown ,No,2,Reciprocating,279, 7FL6 
 N326DK , Airplane , BEECH , A36 , No ,1, Reciprocating ,388, 0A9 
 N915W , Airplane , KitFox , Series 5 , Yes ,1, Reciprocating ,241, 60TE 
 N444LT , Airplane , Anthony J. Bencivenga , Aventura II , Yes ,1, Reciprocating ,390, KOBE 
 NONE , Airplane , Ebersole , Hummel Ultra Cruiser , Yes ,1, Reciprocating ,255, 7G4 
 N65832 , Glider , Schweizer , SGS 2-33A , No ,0,Reciprocating,289, K4G3 
 N5180G , Airplane , Ayres , SR2 , No ,1, Reciprocating ,199, NONE 
 N5479A , Airplane , Cessna , T210N , No ,1, Reciprocating ,311, RHV 
 N546SW , Gyrocraft , Wessel , Vortex , Yes ,1, Reciprocating ,216, FFZ 
 N65PG , Airplane , Boeing ,1942, No ,1, Reciprocating ,360,QVW
 N13WA ,Airplane, Piper , PA-22-150 , No ,1, Reciprocating ,177, MOD 
 N2088Z ,Airplane, Short Bros. , SC-7 , No ,2, Turbo Prop ,336,QBE
 N6578 ,Airplane, Grumman , G-164A , No ,1, Reciprocating ,176,WVM
 N5731S ,Airplane, Schweizer , SGS 2-33 , No ,2,Reciprocating,343, 42U 
